measurement_id,bin_idx,bin_range_m,i1_dbm,q1_dbm,i2_dbm,q2_dbm,is_target_bin_w2,is_target_bin_w3,is_background_bin
m_0001a84982c4b378,1,0.320604,-24.699,-39.034,-41.98,-82.796,False,False,True
m_0001a84982c4b378,2,0.641208,-24.07,-35.865,-34.765,-27.647,True,True,False
m_0001a84982c4b378,3,0.9618119999999999,-23.686,-48.434,-76.089,-24.855,True,True,False
m_0001a84982c4b378,4,1.282416,-25.394,-33.672,-28.391,-25.399,False,True,False
m_0001a84982c4b378,5,1.60302,-29.018,-30.379,-25.103,-26.081,False,False,False
m_0001a84982c4b378,6,1.9236239999999998,-32.642,-32.572,-27.702,-27.925,False,False,False
m_0001a84982c4b378,7,2.244228,-39.319,-37.586,-33.758,-32.402,False,False,False
m_0001a84982c4b378,8,2.564832,-49.316,-52.68,-36.225,-38.064,False,False,False
m_0001a84982c4b378,9,2.885436,-44.201,-43.137,-37.512,-41.029,False,False,False
m_0001a84982c4b378,10,3.20604,-46.529,-47.607,-43.119,-43.916,False,False,False
m_0001a84982c4b378,11,3.5266439999999997,-44.144,-48.337,-49.269,-43.9,False,False,False
m_0001a84982c4b378,12,3.8472479999999996,-41.842,-43.35,-44.724,-46.139,False,False,False
m_0001a84982c4b378,13,4.167852,-43.776,-42.348,-43.213,-49.916,False,False,False
m_0001a84982c4b378,14,4.488456,-49.1,-49.507,-50.252,-53.106,False,False,False
m_0001a84982c4b378,15,4.80906,-51.248,-59.194,-52.291,-64.501,False,False,False
m_0001a84982c4b378,16,5.129664,-51.896,-59.719,-49.625,-55.836,False,False,True
m_0001a84982c4b378,17,5.450268,-54.998,-53.601,-48.529,-51.104,False,False,True
