measurement_id,series_prefix,type_of_material_number,sample_type_norm,cw_fmcw,attenuation_db,ramp_time_ms,bin_size_mm,bin_size_hz,number_of_samples,start_frequency_mhz,stop_frequency_mhz,zero_pad_factor,active_channels,radar_no,interface,magnitude_unit,place_label,refl_defl_ni_label,orientation_label,vzd_refl_stena_label,vzd_radar_stena_label,qc_flags
m_0001a84982c4b378,fmcw,23,23,FMCW,0.0,50,320.604,10,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Deflektor,od budovy,,,
m_0005201e1a2c04f0,fmcw,25,25,FMCW,0.0,50,320.604,10,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,nič,od budovy,,,
m_000d50df83ea017b,fmcw,21,21,FMCW,0.0,50,320.604,10,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Deflektor,od budovy,,,
m_000fa9e0e11c4699,206,6,6,FMCW,0.0,50,320.604,10,33,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Reflektor,k budove,7.8m,9m,
m_0010e6188e5da9d1,fmcw,17,17,FMCW,0.0,50,320.604,10,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Deflektor,od budovy,,,
m_001145cbaa2a361d,26fc8241,241,241,FMCW,0.0,30,320.579,16,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Reflektor,podél budovy,0,0,
m_0012141c240ad6c1,111,11,11,FMCW,0.0,50,320.604,10,32,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Chodba,Reflektor,v budove,3.2m,2m,
m_0013faa61144a9ba,26fc825b,25,25,FMCW,0.0,30,320.579,16,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Reflektor,podél budovy,,,
m_001c245f60782139,fmcw,27,27,FMCW,0.0,50,320.604,10,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Deflektor,od budovy,,,
m_001f6c9041526b38,fmcw,5,5,FMCW,0.0,50,320.604,10,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Reflektor,od budovy,,,
m_002239c2b3b8cd32,fmcw,241,241,FMCW,9.0,50,320.604,10,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,nič,od budovy,,,
m_00323115aa93070b,RBMN3A,3a,3a,FMCW,0.0,30,320.579,16,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Reflektor,podél budovy,,,
m_003e2a2292701c5d,fmcw,16,16,FMCW,0.0,50,320.604,10,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Reflektor,od budovy,,,
m_004bc67e685508bb,618,18,18,FMCW,0.0,50,320.604,10,33,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,nebyl,od budovy,nebyl,7.8m,
m_004dedf8ce7bc6a6,cw,23,23,CW,0.0,50,320.604,10,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Deflektor,od budovy,,,
m_0050e49a09841c0b,fmcw,29,29,FMCW,0.0,50,320.604,10,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,nič,od budovy,,,
m_0057ab469c58a4e3,fmcw,22,22,FMCW,0.0,50,320.604,10,17,24008,24242,2,"I1, Q1, I2, Q2",2130000108,Ethernet,"[dBm], Phase/Obj. Angle Unit:	[degrees]",Vonku,Deflektor,od budovy,,,
