measurement_id,bin_idx,range_m,mag_i1_dbm,mag_q1_dbm,mag_i2_dbm,mag_q2_dbm
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,1,0.0,-33.843,-29.608,-28.313,-33.621
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,2,0.320604,-30.343,-25.508,-26.097,-31.28
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,3,0.641208,-29.972,-24.712,-25.954,-30.825
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,4,0.961812,-36.143,-29.892,-30.911,-35.499
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,5,1.282416,-50.957,-42.007,-39.526,-42.162
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,6,1.60302,-40.611,-35.486,-41.162,-36.359
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,7,1.923624,-28.723,-28.523,-28.491,-28.918
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,8,2.244228,-23.804,-23.807,-23.332,-23.813
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,9,2.564832,-21.913,-21.899,-21.786,-21.99
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,10,2.885436,-20.162,-20.347,-21.329,-21.977
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,11,3.20604,-15.842,-15.79,-18.181,-18.768
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,12,3.526644,-11.947,-11.913,-14.126,-14.431
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,13,3.847248,-10.664,-10.78,-12.31,-12.651
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,14,4.167852,-12.507,-12.645,-13.371,-13.774
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,15,4.488456,-18.023,-17.906,-17.636,-17.994
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,16,4.80906,-28.137,-27.383,-25.82,-26.004
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,17,5.129664,-38.627,-38.173,-39.639,-40.017
